"OAUTHCLIENT_NPR_CI","00,30 * * * *","at 0 and 30 minutes","true"
"OAUTHCLIENT_PSD_CI","00,30 * * * *","at 0 and 30 minutes","true"
"OAUTHCLIENT_NPR",,,
"Yslwellness",,,
"yslwellnessAutomationSuite",,,
"hammerRelease","30      6      *     *   1,2,3,4,5,6","at 06:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"YSLMONEYSUPPORT_CI","00,30 * * * *","at 0 and 30 minutes","true"
"NightlyProwler_YSL_moneysupport_usetinydb",,,
"yslwealth",,,
"ngyccapprelease","30      21      *     *   1,2,3,4,5,6","at 21:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"Yslstab",,,
"yslsdg_CI_usetinydb",,,
"oauthclient_psd_CI_usetinydb",,,
"yslwellness_CI_usetinydb",,,
"NightlyProwler_OAUTHCLIENT_STAB_USETINYDB",,,
"YSLNPR_CI","00,25 * * * *","at 0 and 25 minutes","true"
"yslnprplus_CI","00,30 * * * *","at 0 and 30 minutes","true"
"sdp2_package_artifact_buildteam_devops",,,
"YSLSMB_CI","00,30 * * * *","at 0 and 30 minutes","true"
"newarch_CI","00,30 * * * *","at 0 and 30 minutes","true"
"Yslmoneysupport",,,
"YSLPSD_CI","00,46 * * * *","at 0 and 46 minutes","true"
"MongoDbInstaller_Maindb","30      10      *     *   1,2,3,4,5,6","at 10:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_moneysupport","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_moneysupport","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false"
"NightlyProwler_YSL_moneysupport","30       22       *    *   1,2,3,4,5,6","at 22:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"yslnprplus_CI_usetinydb",,,
"yslwellnessremotecall",,,
"ngyccservicesfeature","30      7      *    *   1,2,3,4,5,6","at 07:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"yslwellnessDeploy",,,
"OAUTHCLIENT_ARMSTRONG_CI","00,30 * * * *","at 0 and 30 minutes","true"
"yslpsd_CI_usetinydb",,,
"NightlyProwler_YSL_npr_usetinydb",,,
"oauthclient_stab_CI_usetinydb",,,
